Amp: Atomistic Machine-learning Package
Developed by Andrew Peterson, Alireza Khorshidi, and others,
Brown University.
 PI Website: http://brown.edu/go/catalyst
 Official repository: http://bitbucket.org/andrewpeterson/amp
 Official documentation: http://amp.readthedocs.org/
======================================================================
User: jboes
Hostname: gilgamesh.cheme.cmu.edu
Date: 2016-06-27T16:00:27
Architecture: x86_64
PID: 5620
Version: 0.4
Python: v2.7.6: /opt/kitchingroup/CANOPY/Canopy_64bit/User/bin/python
Amp: /home-research/jboes/python/amp
ASE v3.11.0: /home-research/jboes/python/ase/ase
NumPy v1.8.1: /opt/kitchingroup/CANOPY/Canopy_64bit/User/lib/python2.7/site-packages/numpy
SciPy v0.14.0: /opt/kitchingroup/CANOPY/Canopy_64bit/User/lib/python2.7/site-packages/scipy
======================================================================
Amp training started. 2016-06-27T16:00:27

Local environment descriptor: Gaussian
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 49 images.
Hashing images...
 49 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: Pd
Symmetry functions for each element:
 Pd: 8
Hidden-layer structure:
 Pd: [2, 2]
Initial weights already present.
Initial scalings already present.
Calculating atomic fingerprints...
 Saved fingerprints file networks/fingerprints.db loaded with 49 entries. 0.0 min.
 Calculating 0 of 49 fingerprints (49 exist in file).
 ...all fingerprint operations complete. 0.0 min.
Updated fingerprints range from saved version; this is a temporary bug fix. With this the first iteration of the training neural network will *not* give identical results to the saved version if the fingerprints_range has changed.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file networks/db0/2-2/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
   47        2016-06-27T16:00:29  4.112e-03    9.160e-03
   48        2016-06-27T16:00:29  4.046e-03    9.087e-03
   49        2016-06-27T16:00:29  3.816e-03    8.825e-03
   50        2016-06-27T16:00:29  3.369e-03    8.292e-03
   51        2016-06-27T16:00:30  3.199e-03    8.080e-03
   52        2016-06-27T16:00:30  3.101e-03    7.956e-03
   53        2016-06-27T16:00:30  2.931e-03    7.734e-03
   54        2016-06-27T16:00:30  2.647e-03    7.350e-03
   55        2016-06-27T16:00:30  2.258e-03    6.788e-03
   56        2016-06-27T16:00:30  1.895e-03    6.219e-03
   57        2016-06-27T16:00:30  1.662e-03    5.824e-03
   58        2016-06-27T16:00:30  1.826e-03    6.104e-03
   59        2016-06-27T16:00:30  1.517e-03    5.564e-03
   60        2016-06-27T16:00:30  1.557e-03    5.636e-03
   61        2016-06-27T16:00:30  1.446e-03    5.432e-03
   62        2016-06-27T16:00:30  1.406e-03    5.356e-03
   63        2016-06-27T16:00:30  1.360e-03    5.268e-03
   64        2016-06-27T16:00:30  1.425e-03    5.392e-03
   65        2016-06-27T16:00:30  1.346e-03    5.242e-03
   66        2016-06-27T16:00:30  1.329e-03    5.208e-03
   67        2016-06-27T16:00:30  1.305e-03    5.161e-03
   68        2016-06-27T16:00:30  1.274e-03    5.100e-03
   69        2016-06-27T16:00:30  1.267e-03    5.085e-03
   70        2016-06-27T16:00:30  1.258e-03    5.068e-03
   71        2016-06-27T16:00:31  1.253e-03    5.058e-03
   72        2016-06-27T16:00:31  1.244e-03    5.038e-03
   73        2016-06-27T16:00:31  1.226e-03    5.001e-03
   74        2016-06-27T16:00:31  1.191e-03    4.930e-03
   75        2016-06-27T16:00:31  1.114e-03    4.768e-03
   76        2016-06-27T16:00:31  1.071e-03    4.675e-03
   77        2016-06-27T16:00:31  1.057e-03    4.644e-03
   78        2016-06-27T16:00:31  9.882e-04    4.491e-03
   79        2016-06-27T16:00:31  9.041e-04    4.295e-03
   80        2016-06-27T16:00:31  7.807e-04    3.992e-03
   81        2016-06-27T16:00:31  6.052e-04    3.514e-03
   82        2016-06-27T16:00:31  9.603e-04    4.427e-03
   83        2016-06-27T16:00:31  5.324e-04    3.296e-03
   84        2016-06-27T16:00:31  4.270e-04    2.952e-03
   85        2016-06-27T16:00:31  3.482e-04    2.666e-03
   86        2016-06-27T16:00:31  2.775e-04    2.380e-03
   87        2016-06-27T16:00:31  2.329e-04    2.180e-03
   88        2016-06-27T16:00:31  1.965e-04    2.002e-03
   89        2016-06-27T16:00:31  1.682e-04    1.853e-03
   90        2016-06-27T16:00:31  1.444e-04    1.717e-03
   91        2016-06-27T16:00:32  1.377e-04    1.676e-03
   92        2016-06-27T16:00:32  1.270e-04    1.610e-03
   93        2016-06-27T16:00:32  1.202e-04    1.566e-03
   94        2016-06-27T16:00:32  1.187e-04    1.556e-03
   95        2016-06-27T16:00:32  1.174e-04    1.548e-03
   96        2016-06-27T16:00:32  1.167e-04    1.544e-03
   97        2016-06-27T16:00:32  1.164e-04    1.541e-03
   98        2016-06-27T16:00:32  1.158e-04    1.538e-03
   99        2016-06-27T16:00:32  1.148e-04    1.530e-03
Saving checkpoint data.
  100        2016-06-27T16:00:32  1.127e-04    1.517e-03
  101        2016-06-27T16:00:32  1.090e-04    1.492e-03
  102        2016-06-27T16:00:32  1.024e-04    1.446e-03
  103        2016-06-27T16:00:32  9.376e-05    1.383e-03
  104        2016-06-27T16:00:32  8.896e-05    1.347e-03
  105        2016-06-27T16:00:32  8.297e-05    1.301e-03
  106        2016-06-27T16:00:32  8.074e-05    1.284e-03
  107        2016-06-27T16:00:32  7.984e-05    1.276e-03
  108        2016-06-27T16:00:32  7.909e-05    1.270e-03
  109        2016-06-27T16:00:32  7.880e-05    1.268e-03
  110        2016-06-27T16:00:32  7.846e-05    1.265e-03
  111        2016-06-27T16:00:32  7.828e-05    1.264e-03
  112        2016-06-27T16:00:33  7.824e-05    1.264e-03
  113        2016-06-27T16:00:33  7.824e-05    1.264e-03
  114        2016-06-27T16:00:33  7.822e-05    1.263e-03
  115        2016-06-27T16:00:33  7.820e-05    1.263e-03
  116        2016-06-27T16:00:33  7.816e-05    1.263e-03
  117        2016-06-27T16:00:33  7.808e-05    1.262e-03
  118        2016-06-27T16:00:33  7.793e-05    1.261e-03
  119        2016-06-27T16:00:33  7.766e-05    1.259e-03
  120        2016-06-27T16:00:33  7.718e-05    1.255e-03
  121        2016-06-27T16:00:33  7.634e-05    1.248e-03
  122        2016-06-27T16:00:33  7.491e-05    1.236e-03
  123        2016-06-27T16:00:33  7.284e-05    1.219e-03
  124        2016-06-27T16:00:33  7.023e-05    1.197e-03
  125        2016-06-27T16:00:33  7.218e-05    1.214e-03
  126        2016-06-27T16:00:33  6.880e-05    1.185e-03
  127        2016-06-27T16:00:33  6.619e-05    1.162e-03
  128        2016-06-27T16:00:33  6.212e-05    1.126e-03
  129        2016-06-27T16:00:33  5.839e-05    1.092e-03
  130        2016-06-27T16:00:33  5.403e-05    1.050e-03
  131        2016-06-27T16:00:33  5.456e-05    1.055e-03
  132        2016-06-27T16:00:34  5.248e-05    1.035e-03
  133        2016-06-27T16:00:34  5.028e-05    1.013e-03
  134        2016-06-27T16:00:34  4.854e-05    9.953e-04
Energy convergence!
 ...optimization completed successfully. Optimal parameters saved. 0.1 min.
